,gender,county,ur,party_preference,age_group2,education,ethnicity,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
553,Male,Călărași,Rural,Undecided,60+,Secondary vocational education,Moldovan,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence
554,Female,Criuleni,Rural,PAS (Igor Grosu),60+,Lower secondary education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
555,Female,Nisporeni,Rural,PAS (Igor Grosu),60+,Lower secondary education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence
556,Male,Anenii Noi,Rural,PDCM (Ion Chicu),60+,Post-secondary vocational education,Moldovan,A lot of confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,No answer,I don't have much confidence,No answer,I have no confidence,No answer,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence
557,Female,Rezina,Urban,Undecided,50-59,Secondary vocational education,Moldovan,No answer,I don't have much confidence,I have no confidence,I have no confidence,No answer,No answer,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,No answer,No answer,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence
558,Male,Criuleni,Rural,PSRM (Igor Dodon),30-39,Upper secondary education,Moldovan,A lot of confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence
559,Male,Ialoveni,Rural,PSDE (Tudor Ulianovschi),30-39,Primary education,Moldovan,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,No answer,No answer,No answer,A lot of confidence,I have no confidence,No answer,A lot of confidence,I don't have much confidence,Some confidence
560,Female,Rezina,Rural,PSDE (Tudor Ulianovschi),30-39,Secondary vocational education,Moldovan,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,No answer,No answer,No answer,No answer,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence
561,Female,Orhei,Rural,Impreuna Electoral Bloc,50-59,Higher education,Moldovan,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,No answer,Some confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence
562,Male,Mun. Chișinău,Rural,MAN (Ion Ceban),30-39,Upper secondary education,Moldovan,A lot of confidence,I have no confidence,No answer,No answer,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,No answer,No answer,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
563,Male,Criuleni,Rural,PN (Renato Usatii),30-39,Secondary vocational education,Moldovan,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,No answer,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence,Some confidence
564,Male,Ialoveni,Urban,PAS (Igor Grosu),30-39,Primary education,Moldovan,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,A lot of confidence
565,Female,Anenii Noi,Urban,No answer,50-59,Post-secondary vocational education,Ukrainian,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I don't have much confidence,No answer,No answer,No answer,I have no confidence,No answer,I have no confidence,No answer
566,Female,Călărași,Rural,PVM (Vasile Tarlev),50-59,Lower secondary education,Moldovan,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,No answer,No answer,No answer,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,Some confidence
567,Female,Ialoveni,Rural,Undecided,50-59,Lower secondary education,Moldovan,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,No answer,I don't have much confidence,A lot of confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence
568,Female,Orhei,Rural,PAS (Igor Grosu),30-39,Lower secondary education,Moldovan,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence
569,Female,Ungheni,Urban,PN (Renato Usatii),60+,Secondary vocational education,Moldovan,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,No answer,No answer,I have no confidence,No answer,No answer,I have no confidence,No answer,I have no confidence,No answer,No answer,No answer
570,Male,Orhei,Urban,Undecided,60+,Higher education,Moldovan,No answer,I don't have much confidence,Some confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence
571,Male,Ialoveni,Rural,No party,50-59,Post-secondary vocational education,Moldovan,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,No answer,I don't have much confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
572,Female,Strășeni,Urban,PSRM (Igor Dodon),50-59,Secondary vocational education,Moldovan,A lot of confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,No answer,No answer,I have no confidence,I don't have much confidence
573,Female,Ungheni,Rural,PRIM (Irina Vlah),60+,Post-secondary vocational education,Moldovan,I don't have much confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
574,Female,Anenii Noi,Rural,PSRM (Igor Dodon),50-59,Higher education,Moldovan,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence
575,Female,Orhei,Rural,PDCM (Ion Chicu),50-59,Post-secondary vocational education,Moldovan,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
576,Female,Ungheni,Rural,PAS (Igor Grosu),50-59,Post-secondary vocational education,Moldovan,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence
577,Female,Anenii Noi,Urban,PCRM (Vladimir Voronin),60+,Lower secondary education,Russian,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,No answer,I don't have much confidence,No answer,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence
578,Female,Telenești,Urban,PRIM (Irina Vlah),60+,Secondary vocational education,Bulgarian,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
579,Male,Criuleni,Rural,PAS (Igor Grosu),20-29,Primary education,Moldovan,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,No answer,No answer,No answer,I don't have much confidence,I have no confidence,Some confidence,No answer,No answer,A lot of confidence,No answer,No answer,I have no confidence,Some confidence,Some confidence,No answer,Some confidence,Some confidence,Some confidence
580,Male,Telenești,Rural,PSRM (Igor Dodon),20-29,Post-secondary vocational education,Moldovan,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
581,Female,Criuleni,Rural,PCRM (Vladimir Voronin),50-59,Primary education,Moldovan,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,A lot of confidence,No answer,A lot of confidence,A lot of confidence,I have no confidence,Some confidence
582,Female,Orhei,Urban,PDCM (Ion Chicu),60+,Upper secondary education,Russian,Some confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
583,Female,Ialoveni,Rural,PSRM (Igor Dodon),50-59,Upper secondary education,Moldovan,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence
584,Male,Ungheni,Rural,PAS (Igor Grosu),20-29,Upper secondary education,Moldovan,I don't have much confidence,Some confidence,Some confidence,Some confidence,No answer,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,No answer,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
585,Female,Mun. Chișinău,Rural,PSRM (Igor Dodon),50-59,Upper secondary education,Bulgarian,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
586,Male,Ialoveni,Rural,PSRM (Igor Dodon),30-39,Without education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
587,Female,Orhei,Rural,Victorie (Ilan Sor),60+,Secondary vocational education,Moldovan,I have no confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
588,Male,Anenii Noi,Rural,PSRM (Igor Dodon),15-19,Upper secondary education,Moldovan,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,Some confidence,Some confidence,No answer,I have no confidence,I have no confidence,A lot of confidence
589,Female,Ungheni,Rural,PDCM (Ion Chicu),40-49,Secondary vocational education,Moldovan,No answer,I don't have much confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence
590,Male,Orhei,Urban,Victorie (Ilan Sor),60+,Higher education,Moldovan,Some confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
591,Male,Nisporeni,Rural,Undecided,40-49,Post-secondary vocational education,Moldovan,No answer,A lot of confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,No answer,Some confidence,No answer,I have no confidence,I have no confidence,No answer,I don't have much confidence,I don't have much confidence,No answer,No answer,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence
592,Female,Anenii Noi,Rural,Victorie (Ilan Sor),50-59,Lower secondary education,Moldovan,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence
593,Male,Criuleni,Rural,Victorie (Ilan Sor),40-49,Secondary vocational education,Moldovan,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence
594,Female,Telenești,Rural,PN (Renato Usatii),15-19,Lower secondary education,Moldovan,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence
595,Female,Ungheni,Rural,MAN (Ion Ceban),60+,Secondary vocational education,Moldovan,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,Some confidence,No answer,Some confidence,I have no confidence,No answer,No answer,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence
596,Female,Ungheni,Rural,PSRM (Igor Dodon),60+,Higher education,Russian,No answer,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
597,Female,Orhei,Urban,Undecided,60+,Lower secondary education,Moldovan,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
598,Female,Orhei,Urban,PDCM (Ion Chicu),30-39,Upper secondary education,Moldovan,No answer,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
599,Male,Călărași,Urban,PCRM (Vladimir Voronin),60+,Higher education,Moldovan,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
600,Male,Ialoveni,Rural,Victorie (Ilan Sor),20-29,Post-secondary vocational education,Roma,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
601,Male,Mun. Chișinău,Urban,PRIM (Irina Vlah),60+,Higher education,Bulgarian,A lot of confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
602,Female,Telenești,Rural,PSDE (Tudor Ulianovschi),30-39,Primary education,Moldovan,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence
603,Female,Mun. Chișinău,Urban,PSRM (Igor Dodon),60+,Lower secondary education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
604,Female,Nisporeni,Rural,Undecided,50-59,Lower secondary education,Moldovan,No answer,No answer,Some confidence,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
605,Male,Ungheni,Urban,PSRM (Igor Dodon),60+,Secondary vocational education,Ukrainian,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
606,Female,Strășeni,Rural,Victorie (Ilan Sor),60+,Post-secondary vocational education,Moldovan,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
607,Female,Rezina,Rural,PVM (Vasile Tarlev),60+,Upper secondary education,Moldovan,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,No answer,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence
608,Female,Mun. Chișinău,Rural,No party,30-39,Upper secondary education,Moldovan,Some confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,Some confidence
609,Male,Ungheni,Urban,PSDE (Tudor Ulianovschi),30-39,Secondary vocational education,Moldovan,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,No answer
610,Female,Telenești,Rural,Other party,60+,Post-secondary vocational education,Moldovan,Some confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence
611,Male,Orhei,Rural,PSRM (Igor Dodon),60+,Post-secondary vocational education,Moldovan,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
612,Male,Orhei,Urban,PCRM (Vladimir Voronin),50-59,Lower secondary education,Ukrainian,No answer,A lot of confidence,I have no confidence,A lot of confidence,No answer,No answer,No answer,I have no confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I don't have much confidence,No answer,I don't have much confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence
613,Female,Telenești,Rural,PRIM (Irina Vlah),40-49,Primary education,Moldovan,Some confidence,Some confidence,A lot of confidence,I have no confidence,No answer,Some confidence,No answer,A lot of confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence
614,Female,Ungheni,Urban,PSRM (Igor Dodon),50-59,Secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence
615,Male,Strășeni,Urban,Undecided,15-19,Higher education,Moldovan,Some confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence
616,Male,Orhei,Rural,Undecided,30-39,Upper secondary education,Moldovan,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
617,Female,Rezina,Rural,Undecided,50-59,Post-secondary vocational education,Moldovan,A lot of confidence,Some confidence,I have no confidence,I have no confidence,No answer,No answer,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,Some confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,No answer
618,Male,Mun. Chișinău,Urban,PSRM (Igor Dodon),30-39,Secondary vocational education,Moldovan,Some confidence,Some confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,Some confidence,Some confidence,I have no confidence
619,Male,Strășeni,Rural,PSRM (Igor Dodon),60+,Secondary vocational education,Moldovan,Some confidence,Some confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence
620,Female,Mun. Chișinău,Urban,PSRM (Igor Dodon),60+,Upper secondary education,Moldovan,Some confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence
621,Female,Șoldănești,Rural,PSRM (Igor Dodon),60+,Upper secondary education,Moldovan,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
