,gender,county,direction,party_preference,education,status,ethnicity,ur,age_group2,Ion_Ceban,Igor_Dodon,Maia_Sandu,Ilan_Shor?,Irina_Vlah,Dorin_Recean,Igor_Grosu,Ion_Cicu,Alexandr_Stoianoglo,Renato_Usatii,Victoria_Furtuna,trust2_Vladimir_Putin,trust2_Volodymyr_Zelensky,trust2_Ursula_von_der_Leyen,trust2_Emanuel_Macron,trust2_Donald_Trump,trust2_EU,trust2_Russia,trust2_NATO,trust2_Romania,trust2_Ukraine,trust2_USA
433,Male,Ungheni,Wrong direction,PRIM (Irina Vlah),Lower secondary education,Much better,Romanian,Urban,60+,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
434,Female,Cahul,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Moldovan,Urban,15-19,I don't have much confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,No answer,No answer,Some confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence
435,Female,Ungheni,Right direction,PAS (Igor Grosu),Post-secondary vocational education,About the same,Ukrainian,Rural,60+,Some confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence
436,Female,Criuleni,Wrong direction,PCRM (Vladimir Voronin),Lower secondary education,About the same,Moldovan,Rural,30-39,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,A lot of confidence,Some confidence,No answer,Some confidence,No answer,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence
437,Female,Mun. Chișinău,No answer,PCRM (Vladimir Voronin),Primary education,Much worse,Russian,Urban,60+,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,No answer,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,Some confidence,No answer,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,A lot of confidence
438,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Upper secondary education,Better,Moldovan,Urban,20-29,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
439,Male,Mun. Bălți,Right direction,PAS (Igor Grosu),Higher education,Better,Moldovan,Urban,20-29,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
440,Female,Mun. Chișinău,No answer,Undecided,Upper secondary education,About the same,Moldovan,Urban,50-59,A lot of confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,I don't have much confidence,No answer,Some confidence,A lot of confidence,Some confidence,No answer,A lot of confidence,I have no confidence,No answer,Some confidence,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence
441,Male,Ialoveni,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,30-39,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
442,Female,Cahul,Wrong direction,Undecided,Primary education,About the same,Gagauz,Urban,60+,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence
443,Female,Mun. Bălți,Wrong direction,PN (Renato Usatii),Lower secondary education,Worse,Moldovan,Urban,60+,Some confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,No answer,Some confidence,I don't have much confidence,No answer,A lot of confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
444,Female,Căușeni,Right direction,PAS (Igor Grosu),Post-secondary vocational education,Worse,Moldovan,Urban,60+,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,A lot of confidence,I don't have much confidence
445,Male,Dondușeni,Wrong direction,PVM (Vasile Tarlev),Secondary vocational education,Better,Moldovan,Rural,50-59,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,No answer,No answer,No answer,A lot of confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence
446,Female,Călărași,No answer,No party,Higher education,About the same,Moldovan,Urban,20-29,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
447,Male,Anenii Noi,Wrong direction,PAS (Igor Grosu),Secondary vocational education,Better,Moldovan,Rural,40-49,Some confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,A lot of confidence,I don't have much confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence
448,Male,Căușeni,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Moldovan,Rural,30-39,No answer,Some confidence,I have no confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,A lot of confidence,I have no confidence,No answer,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
449,Male,Cahul,Wrong direction,PSDE (Tudor Ulianovschi),Higher education,Much better,Romanian,Urban,30-39,I have no confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,A lot of confidence,No answer,I don't have much confidence,I don't have much confidence,A lot of confidence
450,Male,Mun. Chișinău,Right direction,PAS (Igor Grosu),Secondary vocational education,About the same,Moldovan,Urban,50-59,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
451,Male,Telenești,Wrong direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,60+,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,Some confidence,Some confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence
452,Female,Florești,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Rural,20-29,No answer,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence
453,Female,Anenii Noi,Right direction,Undecided,Primary education,Worse,Ukrainian,Rural,60+,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,Some confidence,I have no confidence
454,Male,Mun. Chișinău,No answer,PAS (Igor Grosu),Secondary vocational education,About the same,Moldovan,Rural,40-49,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,No answer,Some confidence,A lot of confidence,I have no confidence,Some confidence,Some confidence,No answer,Some confidence
455,Female,Ștefan Vodă,Wrong direction,Victorie (Ilan Sor),Secondary vocational education,Much better,Moldovan,Rural,30-39,I have no confidence,I have no confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,Some confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
456,Female,Drochia,Wrong direction,PRIM (Irina Vlah),Lower secondary education,About the same,Moldovan,Rural,20-29,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence
457,Female,Ștefan Vodă,No answer,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,50-59,Some confidence,Some confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,Some confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,Some confidence
458,Male,Sîngerei,Wrong direction,Undecided,Lower secondary education,About the same,Moldovan,Rural,30-39,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,Some confidence
459,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Primary education,About the same,Ukrainian,Urban,60+,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,No answer,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
460,Male,Briceni,Wrong direction,No party,Higher education,No answer,Romanian,Rural,60+,I don't have much confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
461,Male,Nisporeni,Wrong direction,Undecided,Lower secondary education,No answer,Romanian,Rural,30-39,Some confidence,A lot of confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence
462,Male,Drochia,No answer,No answer,Lower secondary education,Much worse,Moldovan,Urban,30-39,I don't have much confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,I have no confidence
463,Male,Cahul,Wrong direction,PN (Renato Usatii),Upper secondary education,Worse,Moldovan,Urban,30-39,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,No answer,A lot of confidence,I don't have much confidence,Some confidence
464,Male,Telenești,Wrong direction,PN (Renato Usatii),Lower secondary education,Much worse,Moldovan,Rural,20-29,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I don't have much confidence,No answer,No answer,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,I have no confidence,Some confidence
465,Male,Mun. Chișinău,No answer,PAS (Igor Grosu),Primary education,About the same,Moldovan,Urban,50-59,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,Some confidence
466,Male,Ștefan Vodă,Wrong direction,PSRM (Igor Dodon),Lower secondary education,Worse,Moldovan,Rural,15-19,Some confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I don't have much confidence,A lot of confidence,A lot of confidence,Some confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,Some confidence,No answer
467,Female,Edineț,No answer,No answer,Higher education,Much worse,Russian,Urban,40-49,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
468,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Lower secondary education,Much worse,Russian,Urban,60+,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
469,Male,UTA Găgăuzia,Right direction,Undecided,Post-secondary vocational education,Better,Gagauz,Rural,50-59,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
470,Female,Ungheni,No answer,Undecided,Upper secondary education,About the same,Moldovan,Urban,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence,I have no confidence,No answer,Some confidence
471,Male,Ocnița,Wrong direction,No party,Higher education,About the same,Moldovan,Rural,20-29,Some confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,No answer,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,Some confidence,Some confidence,I have no confidence,Some confidence
472,Male,Mun. Chișinău,Wrong direction,Impreuna Electoral Bloc,Higher education,Worse,Moldovan,Urban,50-59,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
473,Female,Orhei,Wrong direction,PSRM (Igor Dodon),Upper secondary education,Much worse,Moldovan,Rural,60+,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,Some confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence
474,Male,Ungheni,Wrong direction,Victorie (Ilan Sor),Lower secondary education,Much better,Moldovan,Rural,60+,I have no confidence,I don't have much confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,Some confidence,No answer,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,No answer,Some confidence,I don't have much confidence,Some confidence,A lot of confidence,I don't have much confidence,No answer
475,Female,Călărași,Right direction,No party,Upper secondary education,Much better,Moldovan,Rural,50-59,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,A lot of confidence,I don't have much confidence,Some confidence,I don't have much confidence,Some confidence,I don't have much confidence
476,Male,Ștefan Vodă,Right direction,Undecided,Secondary vocational education,About the same,Moldovan,Rural,30-39,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,Some confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,I don't have much confidence,No answer
477,Male,Hîncești,No answer,Undecided,Upper secondary education,About the same,Moldovan,Urban,20-29,I don't have much confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I don't have much confidence,No answer,A lot of confidence,I have no confidence,No answer,I don't have much confidence,A lot of confidence,Some confidence,Some confidence,No answer,I don't have much confidence,I have no confidence,No answer
478,Male,Glodeni,Right direction,No party,Secondary vocational education,About the same,Moldovan,Rural,30-39,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,No answer,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,Some confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,I don't have much confidence,I have no confidence
479,Female,Rîșcani,Wrong direction,PN (Renato Usatii),Lower secondary education,Much worse,Moldovan,Rural,40-49,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,No answer,A lot of confidence,I don't have much confidence,Some confidence
480,Male,Ialoveni,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Much worse,Moldovan,Rural,50-59,I have no confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,No answer,Some confidence,I don't have much confidence,I don't have much confidence,Some confidence,I don't have much confidence,No answer,I have no confidence,I don't have much confidence,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,I have no confidence
481,Male,Drochia,No answer,PAS (Igor Grosu),Secondary vocational education,About the same,Moldovan,Urban,60+,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,Some confidence,No answer,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,Some confidence,I have no confidence,Some confidence,Some confidence,Some confidence,A lot of confidence
482,Female,Telenești,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Rural,60+,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence
483,Female,Telenești,Wrong direction,Victorie (Ilan Sor),Secondary vocational education,Worse,Moldovan,Rural,50-59,A lot of confidence,I don't have much confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,I don't have much confidence,A lot of confidence,Some confidence,Some confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence
484,Female,UTA Găgăuzia,Wrong direction,PSRM (Igor Dodon),Post-secondary vocational education,Much better,Bulgarian,Urban,60+,A lot of confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,I don't have much confidence,No answer,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence
485,Female,Mun. Bălți,Wrong direction,Victorie (Ilan Sor),Higher education,About the same,Ukrainian,Urban,30-39,I don't have much confidence,Some confidence,I have no confidence,A lot of confidence,Some confidence,No answer,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
486,Female,Briceni,Wrong direction,PRIM (Irina Vlah),Primary education,Worse,Ukrainian,Urban,60+,I don't have much confidence,I don't have much confidence,I have no confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,No answer,I have no confidence,No answer,No answer,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,I have no confidence,No answer,I have no confidence,I have no confidence
487,Male,Telenești,Wrong direction,PCRM (Vladimir Voronin),Upper secondary education,About the same,Moldovan,Rural,60+,A lot of confidence,I don't have much confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,No answer,Some confidence,Some confidence,I don't have much confidence
488,Male,Orhei,Right direction,PAS (Igor Grosu),Primary education,About the same,Moldovan,Rural,15-19,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,Some confidence,I have no confidence,Some confidence,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,No answer,Some confidence,No answer,A lot of confidence,I have no confidence,Some confidence,Some confidence,Some confidence,A lot of confidence
489,Male,Ialoveni,Wrong direction,PDCM (Ion Chicu),Secondary vocational education,Much worse,Moldovan,Rural,60+,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,I have no confidence,No answer,No answer,I don't have much confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence
490,Female,Anenii Noi,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,60+,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,Some confidence,Some confidence,Some confidence,A lot of confidence,I have no confidence,I don't have much confidence,A lot of confidence,A lot of confidence,A lot of confidence
491,Male,Hîncești,Wrong direction,No party,Lower secondary education,Much worse,Moldovan,Rural,30-39,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,No answer,I have no confidence,No answer,Some confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence
492,Female,Mun. Chișinău,Right direction,PAS (Igor Grosu),Higher education,About the same,Moldovan,Urban,30-39,I have no confidence,I don't have much confidence,A lot of confidence,I have no confidence,No answer,Some confidence,No answer,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,I have no confidence,Some confidence,No answer,Some confidence,I have no confidence,Some confidence,I have no confidence,No answer,No answer,Some confidence,A lot of confidence
493,Male,Șoldănești,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Moldovan,Rural,20-29,Some confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,No answer,I don't have much confidence,I don't have much confidence,No answer,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I have no confidence,I don't have much confidence
494,Male,Rîșcani,Right direction,PAS (Igor Grosu),Lower secondary education,About the same,Moldovan,Rural,30-39,Some confidence,Some confidence,A lot of confidence,I have no confidence,I have no confidence,A lot of confidence,A lot of confidence,No answer,I don't have much confidence,Some confidence,No answer,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,I don't have much confidence,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence
495,Male,Mun. Chișinău,Right direction,Undecided,Higher education,Worse,Moldovan,Urban,30-39,Some confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,Some confidence,I don't have much confidence,I have no confidence,I don't have much confidence,No answer,No answer,I have no confidence,Some confidence,No answer,No answer,No answer,A lot of confidence,I have no confidence,A lot of confidence,A lot of confidence,A lot of confidence,No answer
496,Female,Ialoveni,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Much worse,Russian,Urban,30-39,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,I have no confidence,Some confidence,I have no confidence,No answer,I don't have much confidence,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,I have no confidence,I don't have much confidence,A lot of confidence
497,Male,Sîngerei,Right direction,Undecided,Post-secondary vocational education,About the same,Moldovan,Rural,20-29,I have no confidence,I have no confidence,A lot of confidence,I have no confidence,Some confidence,A lot of confidence,A lot of confidence,I don't have much confidence,I have no confidence,Some confidence,No answer,I don't have much confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence,A lot of confidence,A lot of confidence,A lot of confidence,Some confidence
498,Female,Mun. Chișinău,Wrong direction,PSRM (Igor Dodon),Secondary vocational education,Worse,Moldovan,Urban,30-39,A lot of confidence,Some confidence,I have no confidence,I have no confidence,No answer,I have no confidence,I have no confidence,I don't have much confidence,Some confidence,I have no confidence,No answer,Some confidence,I have no confidence,No answer,I have no confidence,A lot of confidence,I don't have much confidence,Some confidence,I have no confidence,I don't have much confidence,I have no confidence,Some confidence
