,age_group,education,gender,nationality,urban_rural,electoral_district,citizen,ukraina,e-valimised,sündimus,kooselu,sisseränne,valitsus,riigikogu,ajakirjandus,party_preference,vote_power,interest
525,25-34,Basic education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Don't know,Strongly disagree,Strongly disagree,Strongly agree,Don't know,Don't trust at all,Rather not trust,Rather trust,SDE,Not at all,Somewhat
526,25-34,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Rather trust,Rather trust,Rather not trust,Isamaa,Rather yes,Somewhat
527,65-74,Secondary education,Female,Estonian,Rural,Lääne-Virumaa,True,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather not,Somewhat
528,55-64,Secondary education,Male,Estonian,Rural,Lääne-Virumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Rather not,A lot
529,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Don't trust at all,Don't trust at all,Rather trust,Isamaa,Rather yes,A lot
530,25-34,Secondary education,Male,Estonian,Small town,Järva- ja Viljandimaa,True,Agree,Agree,Agree,Agree,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Eesti 200,Rather yes,A little
531,35-44,Higher education,Male,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Don't know,Disagree,Strongly disagree,Don't know,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather not,A little
532,35-44,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Disagree,Agree,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
533,25-34,Higher education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Not at all,Somewhat
534,25-34,Higher education,Female,Estonian,Rural,Lääne-Virumaa,True,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,No party,Not at all,Almost not at all
535,35-44,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Disagree,Agree,Disagree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,A little
536,35-44,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,SDE,Definitely,A little
537,65-74,Secondary education,Female,Estonian,Small town,Pärnumaa,True,Disagree,Disagree,Agree,Disagree,Strongly agree,Rather not trust,Rather trust,Rather not trust,Isamaa,Rather not,A little
538,55-64,Secondary education,Male,Estonian,Urban,Tartu linn,True,Strongly agree,Strongly disagree,Don't know,Don't know,Don't know,Trust completely,Trust completely,Rather not trust,Reformierakond,Rather yes,A lot
539,55-64,Higher education,Male,Estonian,Rural,Lääne-Virumaa,True,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Don't trust at all,Rather not trust,Rather not trust,Isamaa,Rather yes,A lot
540,35-44,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Rather trust,Don't trust at all,Rather trust,Eesti 200,Rather yes,Somewhat
541,65-74,Higher education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
542,35-44,Higher education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather trust,Neither trust nor distrust,EKRE,Rather not,A lot
543,35-44,Secondary education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather not trust,Rather not trust,Rather trust,Parempoolsed,Definitely,A lot
544,75+,Higher education,Female,Estonian,Urban,Pärnumaa,True,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Rather not trust,Rather trust,Trust completely,EKRE,Rather not,A lot
545,55-64,Higher education,Female,Estonian,Rural,Pärnumaa,True,Disagree,Disagree,Strongly agree,Don't know,Don't know,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather not,A lot
546,55-64,Higher education,Female,Other,Small town,Pärnumaa,True,Strongly agree,Agree,Agree,Disagree,Disagree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Not at all,Somewhat
547,35-44,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Disagree,Disagree,Agree,Agree,Rather trust,Rather not trust,Rather trust,SDE,Not at all,Somewhat
548,55-64,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,Somewhat
549,65-74,Higher education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Agree,Don't know,Don't know,Rather trust,Rather not trust,Don't trust at all,Reformierakond,Rather yes,Somewhat
550,35-44,Basic education,Female,Estonian,Urban,Pärnumaa,True,Strongly agree,Don't know,Don't know,Don't know,Strongly agree,Don't trust at all,Don't trust at all,Neither trust nor distrust,Undecided,Not at all,Almost not at all
551,35-44,Higher education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,Almost not at all
552,35-44,Secondary education,Male,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Don't know,Don't know,Don't know,Don't know,Don't know,Don't trust at all,Don't trust at all,Neither trust nor distrust,No party,Not at all,A little
553,18-24,Secondary education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather not,A little
554,75+,Secondary education,Female,Other,Tallinn,Mustamäe ja Nõmme,True,Disagree,Strongly agree,Agree,Agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Not at all,Somewhat
555,18-24,Secondary education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather trust,Rather not trust,Rather not trust,SDE,Rather not,A little
556,18-24,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly disagree,Agree,Strongly agree,Don't know,Rather trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
557,45-54,Secondary education,Female,Other,Small town,Pärnumaa,True,Strongly agree,Strongly agree,Strongly agree,Don't know,Agree,Don't trust at all,Don't trust at all,Neither trust nor distrust,No party,Not at all,A little
558,45-54,Basic education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Not at all,A lot
559,45-54,Higher education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Strongly disagree,Don't know,Strongly agree,Don't know,Rather trust,Don't trust at all,Rather trust,Reformierakond,Rather yes,Somewhat
560,65-74,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Don't know,Don't know,Don't know,Don't know,Don't know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Undecided,Not at all,Almost not at all
561,65-74,Higher education,Female,Estonian,Urban,Harju- ja Raplamaa,True,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Rather not trust,Rather trust,Rather trust,EKRE,Rather yes,Somewhat
562,65-74,Higher education,Female,Other,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Don't trust at all,Don't trust at all,Don't trust at all,No party,Rather not,Somewhat
563,45-54,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Agree,Don't know,Agree,Trust completely,Rather trust,Rather trust,Reformierakond,Definitely,Somewhat
564,25-34,Higher education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather trust,Don't trust at all,SDE,Rather not,Somewhat
565,25-34,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Trust completely,Rather trust,Rather trust,Reformierakond,Rather yes,A lot
566,65-74,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Disagree,Agree,Agree,Agree,Rather trust,Rather trust,Rather trust,SDE,Definitely,Somewhat
567,35-44,Higher education,Female,Other,Urban,Ida-Virumaa,True,Don't know,Don't know,Strongly disagree,Strongly disagree,Agree,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Keskerakond,Rather not,Almost not at all
568,65-74,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather yes,A lot
569,75+,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
570,65-74,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,No party,Rather not,Somewhat
571,65-74,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Rather trust,Rather not trust,Rather trust,Reformierakond,Definitely,A lot
572,45-54,Secondary education,Male,Estonian,Rural,Lääne-Virumaa,True,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Rather trust,Rather not trust,Rather not trust,Isamaa,Definitely,A little
573,65-74,Higher education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,Somewhat
574,75+,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Disagree,Agree,Strongly agree,Don't know,Rather trust,Rather trust,Rather not trust,Reformierakond,Rather not,A lot
575,25-34,Higher education,Female,Other,Urban,Tartu linn,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,Eesti 200,Rather not,A lot
576,65-74,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Disagree,Disagree,Agree,Agree,Rather trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
577,75+,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Disagree,Agree,Strongly disagree,Disagree,Rather not trust,Rather trust,Rather not trust,Isamaa,Rather yes,A lot
578,65-74,Higher education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Agree,Agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Definitely,Somewhat
579,45-54,Secondary education,Male,Estonian,Rural,Jõgeva- ja Tartumaa,True,Don't know,Strongly disagree,Agree,Strongly disagree,Disagree,Rather trust,Don't trust at all,Rather trust,Reformierakond,Rather yes,Somewhat
580,25-34,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Agree,Strongly agree,Don't know,Strongly agree,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Not at all,Almost not at all
581,18-24,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly disagree,Agree,Agree,Disagree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,Somewhat
582,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather not,A lot
583,65-74,Higher education,Female,Estonian,Urban,Pärnumaa,True,Strongly agree,Strongly disagree,Agree,Agree,Agree,Rather trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
584,18-24,Secondary education,Male,Estonian,Urban,Tartu linn,True,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Rather trust,Trust completely,Rather trust,Parempoolsed,Definitely,A lot
585,55-64,Higher education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather yes,Somewhat
586,18-24,Secondary education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Don't know,Disagree,Strongly agree,Strongly agree,Don't know,Rather not trust,Rather not trust,Don't trust at all,Reformierakond,Rather yes,Almost not at all
587,55-64,Basic education,Female,Estonian,Urban,Järva- ja Viljandimaa,True,Don't know,Don't know,Disagree,Disagree,Don't know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,No party,Rather not,Somewhat
588,35-44,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Agree,Strongly disagree,Don't know,Rather not trust,Rather not trust,Rather not trust,Other,Definitely,Somewhat
589,65-74,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Rather not trust,Don't trust at all,Rather trust,No party,Not at all,A lot
590,55-64,Higher education,Male,Estonian,Urban,Pärnumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather not trust,Isamaa,Rather yes,Somewhat
591,45-54,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Disagree,Disagree,Disagree,Don't trust at all,Rather not trust,Don't trust at all,Undecided,Not at all,A lot
592,55-64,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Rather trust,Rather not trust,Rather trust,Parempoolsed,Rather yes,A lot
593,65-74,Higher education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Agree,Don't know,Agree,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Not at all,A lot
594,25-34,Higher education,Female,Estonian,Urban,Pärnumaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Rather not trust,Rather not trust,Rather not trust,Eesti 200,Rather not,Somewhat
595,65-74,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Agree,Don't know,Rather trust,Rather trust,Rather trust,Reformierakond,Rather yes,A little
596,45-54,Secondary education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,Isamaa,Not at all,Almost not at all
597,18-24,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Disagree,Don't know,Strongly agree,Disagree,Neither trust nor distrust,Rather not trust,Rather not trust,Undecided,Rather yes,Somewhat
598,45-54,Secondary education,Male,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly agree,Strongly agree,Agree,Disagree,Agree,Don't trust at all,Don't trust at all,Rather not trust,Isamaa,Rather not,Almost not at all
599,18-24,Secondary education,Female,Estonian,Urban,Tartu linn,True,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather not,Somewhat
600,45-54,Secondary education,Male,Estonian,Rural,Pärnumaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Trust completely,Don't trust at all,Rather trust,Reformierakond,Definitely,A lot
601,25-34,Basic education,Female,Estonian,Urban,"Võru-, Valga- ja Põlvamaa",True,Don't know,Disagree,Agree,Disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather not,A little
602,25-34,Higher education,Male,Estonian,Urban,Tartu linn,True,Agree,Strongly disagree,Disagree,Strongly agree,Don't know,Rather not trust,Rather not trust,Rather trust,Eesti 200,Rather not,A lot
603,45-54,Secondary education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather trust,Reformierakond,Rather not,A little
604,65-74,Higher education,Female,Estonian,Urban,Pärnumaa,True,Agree,Strongly disagree,Disagree,Agree,Agree,Trust completely,Rather trust,Rather not trust,Reformierakond,Rather yes,Somewhat
605,35-44,Higher education,Female,Estonian,Urban,Pärnumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,A lot
606,25-34,Secondary education,Male,Estonian,Urban,Pärnumaa,True,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Rather not trust,Rather trust,Rather not trust,Isamaa,Rather yes,Somewhat
607,55-64,Secondary education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Don't trust at all,EKRE,Not at all,A lot
608,35-44,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Rather trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
609,45-54,Higher education,Male,Estonian,Urban,Pärnumaa,True,Don't know,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Don't trust at all,EKRE,Rather not,A lot
610,45-54,Secondary education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Agree,Strongly disagree,Disagree,Disagree,Agree,Rather not trust,Don't trust at all,Rather not trust,Isamaa,Rather not,Somewhat
611,35-44,Higher education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Rather trust,Rather trust,Rather not trust,Isamaa,Rather yes,Somewhat
612,45-54,Secondary education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Disagree,Agree,Strongly agree,Disagree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
613,65-74,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Don't trust at all,Keskerakond,Rather yes,Somewhat
614,18-24,Basic education,Female,Estonian,Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
615,25-34,Basic education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Not at all,A little
616,65-74,Secondary education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Disagree,Agree,Don't know,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
617,18-24,Basic education,Male,Estonian,Urban,Järva- ja Viljandimaa,True,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Trust completely,Don't trust at all,Trust completely,Reformierakond,Not at all,A little
618,45-54,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Strongly agree,Disagree,Agree,Disagree,Rather not trust,Rather not trust,Rather not trust,SDE,Rather not,A little
619,45-54,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Rather trust,Rather trust,Rather trust,EKRE,Rather not,Somewhat
620,18-24,Secondary education,Female,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Trust completely,Rather not trust,Neither trust nor distrust,SDE,Definitely,A little
621,65-74,Secondary education,Female,Other,Small town,Pärnumaa,True,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Rather trust,Rather trust,Neither trust nor distrust,Isamaa,Definitely,A lot
622,55-64,Higher education,Female,Estonian,Urban,Tartu linn,True,Agree,Disagree,Agree,Agree,Disagree,Rather trust,Trust completely,Rather trust,Isamaa,Rather yes,Somewhat
623,45-54,Secondary education,Female,Estonian,Rural,Lääne-Virumaa,True,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Rather trust,Rather not trust,Rather trust,SDE,Definitely,A lot
624,55-64,Secondary education,Male,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Undecided,Not at all,Somewhat
625,65-74,Higher education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly disagree,Strongly disagree,Don't know,Strongly agree,Don't know,Rather trust,Neither trust nor distrust,Rather trust,Isamaa,Rather not,Somewhat
626,65-74,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Agree,Agree,Strongly agree,Agree,Agree,Rather not trust,Rather not trust,Rather trust,SDE,Rather not,Somewhat
627,35-44,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Trust completely,Rather trust,Rather trust,SDE,Definitely,Somewhat
628,55-64,Secondary education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather not trust,Undecided,Not at all,Somewhat
629,55-64,Secondary education,Male,Estonian,Rural,Lääne-Virumaa,True,Disagree,Strongly disagree,Don't know,Strongly disagree,Agree,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,Somewhat
630,75+,Secondary education,Male,Estonian,Urban,Pärnumaa,True,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Rather not trust,Rather trust,Trust completely,EKRE,Rather yes,Somewhat
631,25-34,Secondary education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Not at all,A little
632,45-54,Secondary education,Male,Estonian,Small town,Harju- ja Raplamaa,True,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather trust,Parempoolsed,Definitely,A lot
633,35-44,Secondary education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Isamaa,Rather yes,Somewhat
634,25-34,Higher education,Female,Estonian,Urban,Pärnumaa,True,Agree,Don't know,Don't know,Don't know,Agree,Rather trust,Rather trust,Don't trust at all,Rohelised,Rather not,A little
635,75+,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
636,75+,Higher education,Female,Estonian,Rural,Järva- ja Viljandimaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather trust,Rather not trust,EKRE,Rather yes,A lot
637,35-44,Secondary education,Male,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Agree,Disagree,Agree,Agree,Don't know,Neither trust nor distrust,Rather not trust,Rather trust,Undecided,Rather not,A little
638,18-24,Secondary education,Female,Other,Tallinn,"Kesklinn, Lasnamäe ja Pirita",True,Strongly agree,Strongly agree,Agree,Agree,Don't know,Don't trust at all,Don't trust at all,Don't trust at all,Keskerakond,Rather not,A lot
639,65-74,Higher education,Female,Estonian,Rural,Harju- ja Raplamaa,True,Agree,Strongly agree,Agree,Disagree,Disagree,Rather not trust,Rather not trust,Don't trust at all,Undecided,Rather not,A lot
640,65-74,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Rather not trust,Rather not trust,Rather not trust,Keskerakond,Rather not,Somewhat
641,65-74,Higher education,Female,Estonian,Small town,Harju- ja Raplamaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Rather trust,Rather not trust,Rather trust,Reformierakond,Rather yes,Somewhat
642,55-64,Secondary education,Female,Other,Urban,Pärnumaa,True,Agree,Strongly agree,Disagree,Agree,Disagree,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Rather yes,Somewhat
643,55-64,Higher education,Female,Estonian,Small town,Järva- ja Viljandimaa,True,Agree,Disagree,Disagree,Disagree,Agree,Rather not trust,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
644,45-54,Basic education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Don't know,Agree,Don't know,Strongly disagree,Don't know,Rather not trust,Rather trust,Rather trust,Isamaa,Rather yes,A lot
645,25-34,Higher education,Female,Estonian,Rural,Jõgeva- ja Tartumaa,True,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Rather trust,Rather not trust,Don't trust at all,Undecided,Rather yes,Almost not at all
646,35-44,Higher education,Male,Other,Urban,Harju- ja Raplamaa,True,Agree,Strongly disagree,Strongly agree,Don't know,Disagree,Don't trust at all,Don't trust at all,Rather not trust,Keskerakond,Rather not,Almost not at all
647,75+,Secondary education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Don't trust at all,Rather not trust,EKRE,Rather yes,A lot
648,45-54,Higher education,Male,Estonian,,Jõgeva- ja Tartumaa,True,Agree,Strongly agree,Agree,Disagree,Agree,Don't trust at all,Rather not trust,Rather not trust,EKRE,Rather not,Somewhat
649,55-64,Higher education,Male,Estonian,Urban,Tartu linn,True,Disagree,Strongly disagree,Disagree,Agree,Disagree,Rather not trust,Don't trust at all,Rather trust,Isamaa,Not at all,A little
650,45-54,Higher education,Female,Estonian,Rural,"Hiiu-, Lääne- ja Saaremaa",True,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Rather not trust,Rather not trust,Rather not trust,Reformierakond,Rather yes,Somewhat
651,25-34,Higher education,Female,Estonian,Urban,Pärnumaa,True,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Rather trust,Rather trust,Rather trust,SDE,Rather yes,Somewhat
652,35-44,Secondary education,Female,Other,Urban,Ida-Virumaa,True,Strongly agree,Strongly agree,Disagree,Agree,Agree,Rather not trust,Rather not trust,Don't trust at all,No party,Rather not,A lot
653,45-54,Higher education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Disagree,Don't know,Disagree,Strongly disagree,Agree,Rather not trust,Rather trust,Rather trust,Parempoolsed,Definitely,A lot
654,45-54,Higher education,Female,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Don't know,Strongly disagree,Strongly disagree,Strongly agree,Agree,Rather trust,Rather trust,Rather trust,Reformierakond,Definitely,Almost not at all
655,55-64,Secondary education,Male,Estonian,Rural,"Võru-, Valga- ja Põlvamaa",True,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Don't trust at all,Rather not trust,Rather trust,Isamaa,Rather yes,A lot
